[2025-12-27 08:10:20,073: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-27 08:10:20,077: INFO/MainProcess] Scheduler: Sending due task fine-tune-solana-daily (celery_tasks.fine_tune_coin)
[2025-12-27 08:10:20,078: INFO/MainProcess] Scheduler: Sending due task fine-tune-cardano-daily (celery_tasks.fine_tune_coin)
[2025-12-27 15:27:28,818: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-27 15:27:28,862: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-27 15:27:28,865: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-27 15:30:00,001: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-27 17:34:51,246: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-27 17:34:51,259: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-28 01:58:13,747: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-28 01:58:13,760: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-28 01:58:13,762: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-28 01:58:13,765: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
